global_max_products,global_max_difference_products,global_max_all_price,global_max_difference_all_price,global_max_shops,global_max_difference_shops,global_max_price,global_max_difference_price,global_min_products,global_min_difference_products,global_min_all_price,global_min_difference_all_price,global_min_shops,global_min_difference_shops,global_min_price,global_min_difference_price,difference_left_products,difference_left_difference_products,difference_left_all_price,difference_left_difference_all_price,difference_left_shops,difference_left_difference_shops,difference_left_price,difference_left_difference_price,difference_right_products,difference_right_difference_products,difference_right_all_price,difference_right_difference_all_price,difference_right_shops,difference_right_difference_shops,difference_right_price,difference_right_difference_price,local_min_products,local_min_difference_products,local_min_all_price,local_min_difference_all_price,local_min_shops,local_min_difference_shops,local_min_price,local_min_difference_price,local_max_products,local_max_difference_products,local_max_all_price,local_max_difference_all_price,local_max_shops,local_max_difference_shops,local_max_price,local_max_difference_price,month
2,1,2,1,2,1,0,1,3,3,3,2,3,3,3,4,13.8,-7.7043478260869565,9.561886763340759,-7.929691424720808,3.727272727272727,-6.0,1.687438411865705,-1.08649128681624,1,2,1,2,1,4,2,2,248.4,-1.1506493506493507,153.5596799792699,-1.17978293632633,16.4,-0.35294117647058826,1.0,-0.32474353653321136,2,4,2,3,2,4,4,3,11
6,3,6,4,5,5,4,7,11,12,12,13,8,10,10,12,5.323529411764706,-1.3310404127257094,3.951596811049312,-1.362707479013238,1.8823529411764706,-4.333333333333333,1.459453716397792,-1.1258346698538397,2,4,3,3,2,7,4,2,1086.0,-0.9834815756035579,796.3157390586293,-0.9770271493600857,48.0,-0.29545454545454547,1.4909727387281835,-0.2505053984224753,10,12,12,13,7,9,11,12,40
3,2,2,2,3,4,2,4,10,14,11,15,9,15,14,16,39.88461538461539,-3.0233463035019454,37.01547851103663,-2.5976563871313365,13.285714285714286,-1.9230769230769231,2.082547151909253,-1.80980865344229,1,6,1,5,0,7,4,1,14.402777777777779,-1.010403120936281,12.171832673205353,-0.9634819330683146,10.333333333333334,-0.5208333333333334,1.3789082672015585,-0.9833642930406288,10,15,11,16,8,13,15,16,49
2,2,2,2,2,2,3,5,6,9,6,9,5,9,10,12,4762.0,-0.9766809172172561,13396.321234638468,-0.9505907982667322,92.0,-0.527027027027027,3.8222338812131933,-1.1203037034200143,0,3,0,5,0,3,0,2,10.197002141327623,-0.5963455149501661,7.678821130133625,-0.6330772422088196,92.0,-5.571428571428571,1.3466800681807527,-2.8321247565348644,6,9,6,9,3,9,9,11,33
4,3,6,3,6,7,4,3,11,16,11,16,9,10,14,16,869.6,-0.9027832222657781,1109.90852163251,-0.869200798320648,47.5,-15.5,2.8214432224414434,-1.2297503128652347,1,3,1,3,0,4,0,3,5.899592944369064,-0.7628353759523021,4.494506986195714,-0.9922592440483897,1.2025316455696202,-3.4444444444444446,1.6509058085065478,-2.021966885330681,11,16,11,16,8,12,14,16,49
8,3,7,3,2,4,7,4,16,17,16,16,8,10,12,13,2.947093630351549,-0.5894601542416452,2.3281114928763693,-1.9740239031501883,1.5483870967741935,1.0,1.279107130123977,-0.8720255968398062,0,4,1,3,0,4,7,2,1.6618253189401373,-1.9252728799328296,2.5977798734073385,-0.46797859348746856,1.103448275862069,-1.5,2.236684958077717,-0.6249401371534395,15,18,16,17,8,11,13,13,49
3,4,4,3,3,4,0,3,3,3,3,3,1,2,2,3,2.5357142857142856,-2.1746031746031744,2.273642387821496,-2.6860719260209627,1.6521739130434783,-13.0,1.1841921342759993,-1.4715721696366924,2,3,2,2,2,2,3,2,10.757575757575758,-0.5756302521008403,9.227900588992334,-0.5240465174654914,3.619047619047619,-0.2653061224489796,1.0,-0.11733437449203656,2,4,2,4,1,2,3,2,11
3,2,3,2,3,3,2,1,15,16,15,16,15,13,11,16,20.714285714285715,-1.6062992125984252,27.997286580392146,-1.0713304293368873,13.142857142857142,-3.1666666666666665,1.8171822046298292,-1.2541676590440234,0,6,0,6,0,5,2,2,3.5714285714285716,-0.8736616702355461,3.1079054770993846,-0.8225816133965711,1.373134328358209,-0.95,1.2883718800621753,-2.1688760676771275,14,16,14,16,15,16,11,17,49
0,2,0,2,0,2,0,4,1,2,1,2,0,1,2,2,342.75,-131.0,350.4449269131556,-120.64936652589465,29.0,-49.0,1.1257712857419948,1.0,0,2,0,2,1,2,1,3,1.0,-0.6688548504741065,1.0,-0.6659038890372628,1.0,-0.5632183908045977,1.0,-0.9780424074591826,1,1,1,1,0,1,2,2,7
7,4,9,4,5,7,8,5,5,8,4,8,3,5,5,8,1552.0,-16.86842105263158,3374.16561784897,-22.283932929837118,81.0,34.0,2.2280892448512586,1.2280892448512586,0,6,0,5,0,3,0,3,14.238532110091743,-1.1783088235294117,16.91696747278404,-1.2977182776595941,6.230769230769231,-0.8717948717948718,1.257130745212637,-0.671139105082082,4,7,3,7,2,3,5,7,26
5,3,4,4,4,4,4,6,10,13,9,11,9,11,12,15,861.0,-51.333333333333336,3009.394878975795,-89.36322569489477,91.0,-40.0,22.994413167116683,-3.462603878116343,0,2,1,6,0,2,1,2,2.2248062015503876,-1.2486486486486486,2.1587464375363314,-1.4499180438824681,1.1818181818181819,-3.6363636363636362,1.1109665736728396,-1.0,9,13,9,12,8,11,12,15,36
4,4,4,4,7,7,1,3,15,16,15,16,11,14,13,15,17.75,-1.1092436974789917,14.997086255516345,-1.158599225988495,2.526315789473684,-1.9166666666666667,1.399660072763217,-1.3915525995076303,1,5,1,5,1,0,7,6,9.88812785388128,-0.9169115682607534,7.182642336361863,-0.9313700148391334,1.2,-2.5555555555555554,1.5555995275956958,-1.5996262772308403,16,16,16,16,12,13,13,15,49
0,1,0,1,0,1,6,3,8,10,7,10,4,5,8,9,97.96428571428571,-1.4369747899159664,65.95955728663644,-1.3868227539237892,10.444444444444445,-0.7058823529411765,1.4152347972275163,-5.623387009510517,1,3,1,3,1,2,4,4,1.0,-0.8727670433831571,1.0,-0.8336625901413177,1.0,-0.3829787234042553,1.5486631089622798,-0.3909374712347965,7,10,7,10,3,5,8,8,28
2,3,2,3,3,5,4,4,8,11,9,11,7,9,7,9,19.01086956521739,-0.773172569706104,11.672436937077922,-0.8208236068428177,2.238095238095238,-1.5,1.5993867397880361,-24.626159360497507,2,3,2,3,1,3,4,2,6.675572519083969,-0.789838337182448,5.254494662526237,-0.8170831677078145,1.5161290322580645,-0.43548387096774194,1.8397875961173225,-0.48043708442205785,8,11,9,11,7,9,8,8,31
